institution_old,institution_new
"Münchener Akademie", "Münchener Akademie"
"Philipp Wilhelm von Boineburg #233","Person, Philipp Wilhelm von Boineburg ###"
"Priesterseminar Aschaffenburg", "Priesterseminar Aschaffenburg"
"Priesterseminar Fulda", "Priesterseminar Fulda"
"Priesterseminar Mainz", "Priesterseminar Mainz"
"Regensburgische Botanische Gesellschaft", "Regensburgische Botanische Gesellschaft"
"Reichsklara Kloster Mainz", "Reichsklara Kloster Mainz"
"St. Alban", "Ritterstift St. Alban Mainz"
"St. Andreas-Schule", "Andreanum Hildesheim"
"St. Maria zu Erfurt", "Kollegiatstift St. Maria Erfurt"
"St. Severus-Stift", "Kollegiatstift St. Severus Erfurt"
"Concilium Majus", "Universität Mainz, Concilium Majus"
"Senat der Universität Mainz", "Universität Mainz, Senat"
