place_old;place_new;comment_fs;suffix;community;region_1;region_2;continent;variant_1;variant_2;variant_3;Source
Berntrodanus;Berntrode;;;;;;Europe;;;;Universitätsmatrikeln
Berolin;Berolin;;;;;;Europe;;;;Universitätsmatrikeln
Berolinensis;Berolin;;;;;;Europe;;;;Universitätsmatrikeln
Beroniscastellanus;Beroniscastellanus;;;;;;Europe;;;;Universitätsmatrikeln
Bertrodensis;Bertrod;;;;;;Europe;;;;Universitätsmatrikeln
Berviana;Berviana;;;;;;Europe;;;;Universitätsmatrikeln
Betau/Niederlande;Betau, Niederlande;;;;;;Europe;;;;Universitätsmatrikeln
Bettendorpius;Bettendorp;;;;;;Europe;;;;Universitätsmatrikeln
Beulensis;Beul;;;;;;Europe;;;;Universitätsmatrikeln
Beuren (Leinefelde-Worbis);Beuren,  Leinefelde-Worbis;;;;;;Europe;Beuren;;;G / 1716 Januar 30
Beurensis;Beur;;;;;;Europe;;;;Universitätsmatrikeln
Beylstein;Beylstein;;;;;;Europe;;;;Universitätsmatrikeln
Bfa Lemburg;Bfa Lemburg;;;;;;Europe;;;;HassiaSuperior
Bibelheimensis;Bibelheim;;;;;;Europe;;;;Universitätsmatrikeln
Biber;Biber;;;;;;Europe;;;;HassiaSuperior
Biberanus;Biber;;;;;;Europe;;;;Universitätsmatrikeln
Biberensis;Biber;;;;;;Europe;;;;Universitätsmatrikeln
Bibergau bei Würzburg;Bibergau, Würzburg;;bei Würzburg;;;;Europe;;;;ProfAPI
Biblis;Biblis;;;;;;Europe;;;;Universitätsmatrikeln
Biblissensis;Bibliss;;;;;;Europe;;;;Universitätsmatrikeln
Biblosensis;Biblos;;;;;;Europe;;;;Universitätsmatrikeln
Bibranus;Bibranus;;;;;;Europe;;;;Universitätsmatrikeln
Bibrich ;Bibrich ;;;;;;Europe;;;;HassiaSuperior
Biden]cap;Biden]cap;;;;;;Europe;;;;HassiaSuperior
Bidesheimensis;Bidesheim;;;;;;Europe;;;;Universitätsmatrikeln
Bieber;Bieber;;;;;;Europe;;;;Universitätsmatrikeln
Biengensis;Bieng;;;;;;Europe;;;;Universitätsmatrikeln
Bieringen/Franken;Bieringen, Franken;;;;;;Europe;;;;Universitätsmatrikeln
Bieringensis;Biering;;;;;;Europe;;;;Universitätsmatrikeln
Bierstadianus;Bierstad;;;;;;Europe;;;;Universitätsmatrikeln
Bilshusanus;Bilshausen;;;;;;Europe;;;;Universitätsmatrikeln
Bilshusanus/Eichsf;Bilshausen, Eichsfeld;;;;;;Europe;;;;Universitätsmatrikeln
Bilstein;Bilstein;;;;;;Europe;;;;HassiaSuperior
Bilsteinensis;Bilstein;;;;;;Europe;;;;Universitätsmatrikeln
Bilsteinensis/Westph;Bilstein, Westphalen;;;;;;Europe;;;;Universitätsmatrikeln
Bilueldiensis;Bilueldi;;;;;;Europe;;;;Universitätsmatrikeln
Bimicheimensis;Bimicheim;;;;;;Europe;;;;Universitätsmatrikeln
Binciensis;Binci;;;;;;Europe;;;;Universitätsmatrikeln
Bingen;Bingen;;;;;;Europe;;;;Universitätsmatrikeln
Bingen - Bingen am Rhein;Bingen - Bingen am Rhein;;;;;;Europe;;;;Topographia1646
