person_name,person_id,person_id_temporary,person_id_jgu,person_id_DigiKAR_final,person_name_variants
Anselm Franz Ernst Freiherr von Warsberg,800,,,90,
Anselm Franz Ernst von Warsberg,90,,,90,
Anselm Franz Freiherr von Warsberg,90,,,90,
Johann Adolph Weltz,91,,,91,
Eberhard Sigmund Wincop,63,92.0,,92,
Eberhard Sigmund Wincop,92,92.0,,92,
Eberhard Sigmund Wincop,,92.0,,92,
Eberhardus Sigismundus Winkopp,92,,,92,
Johannes Matthias Wincop,93,,,93,
Johannes Matthias Wincop ,93,,,93,
Wilhelm Heinrich Wincop,94,,,94,
[Wilhelm Heinrich] Wincop,94,,,94,
N.N. Mueß,95,,,95,Meueß [?]
Georg Heinrich von Ziegler,96,,,96,
Georg Heinrich (von) Ziegler,96,,,96,
Georg Heinrich von Ziegler ,96,,,96,
Georg Heinrich Ziegler ,96,,,96,Johann Heinrich Ziegler
