,place_name,id
1720,Kiedrich,2891205
1721,Kiedrich,2891205
1722,Kiedrich,2891205
1723,Kiedrich,2891205
1724,Kesselstadt,2891379
1725,Hanau-Kesselstadt,2891379
1726,Koblenz-Kesselheim,2891408
1727,Eifel,2891525
1728,Kempten,2891621
1729,Kempenich,2891640
1730,Kempenich,2891640
1731,Kelkheim (Taunus),2891832
1732,Kelberg,2891846
1733,Kefferhausen,2891968
1734,Kaufbeuren,2892080
1735,Kaub,2892101
1736,Kaub,2892101
1737,Kaub,2892101
1738,Kaub,2892101
1739,Katzenbühl,2892197
1740,Mainz-Kastel,2892488
1741,Mainz-Kastel,2892488
1742,Mainz-Kastel,2892488
1743,Mainz-Kastel,2892488
1744,Mainz-Kastel,2892488
1745,Mainz-Kastel,2892488
1746,Mainz-Kastel,2892488
1747,Mainz-Kastel,2892488
1748,Mainz-Kastel,2892488
1749,Mainz-Kastel,2892488
1750,Mainz-Kastel,2892488
1751,Mainz-Kastel,2892488
1752,Mainz-Kastel,2892488
1753,Kassel,2892518
1754,Kassel,2892518
1755,Kasel/ Trier,2892571
1756,Karlsruhe,2892794
1757,Karlsruhe,2892794
1758,Karlsruhe,2892794
1759,Karlsruhe,2892794
1760,Karbach (Unterfranken),2892988
1761,Kappel (Hunsrück),2893054
1762,Canstein/  Marsberg,2893195
1763,Kandel,2893244
1764,Bornhofen,2893307
1765,Kalteneber,2893585
1766,Kallmerode,2893723
1767,Kallmerode,2893723
1768,Kallmerode,2893723
1769,Kallenhardt,2893738
1770,Kälberau,2893926
1771,Frankfurt-Kalbach-Riedberg,2893942
1772,Frankfurt-Riedberg,2893942
1773,Kaiserswerth,2893993
1774,Kaiserswerth,2893993
1775,Kaiserswerth,2893993
1776,Kaiserslautern,2894003
1777,Kaiserslautern,2894003
1778,Kahl am Main,2894245
1779,Kahl am Main,2894245
1780,Jützenbach,2894390
1781,Jülich,2894553
1782,Jülich,2894553
1783,Jülich,2894553
1784,Jülich,2894553
1785,Jügesheim,2894579
1786,Jügesheim,2894579
1787,Johannisberg (Geisenheim),2894791
1788,Johannisberg (Geisenheim),2894791
1789,Johannisberg (Geisenheim),2894791
1790,Johannisberg (Geisenheim),2894791
1791,Johannisberg (Geisenheim),2894791
1792,Johannisberg (Geisenheim),2894791
1793,Johannisberg (Geisenheim),2894791
1794,Johannisberg (Geisenheim),2894791
1795,Jena,2895044
1796,Jena,2895044
1797,Isny,2895638
1798,Insul,2895908
1799,Ingolstadt,2895992
1800,Ingolstadt,2895992
1801,Ingolstadt,2895992
1802,Ober-Ingelheim,2896015
1803,Ober-Ingelheim,2896015
1804,Ober-Ingelheim,2896015
1805,Ingelheim,2896020
1806,Impfingen,2896210
1807,Impfingen,2896210
1808,Impfingen,2896210
1809,Immingerode,2896230
1810,Immenstadt/ Allgäu,2896261
1811,Ilbesheim,2896599
1812,Ilbenstadt,2896607
1813,Ilbenstadt,2896607
1814,Ilbenstadt,2896607
1815,Idstein,2896736
1816,Idstein,2896736
1817,Idstein,2896736
1818,Oberstein (Idar-Oberstein),2896753
1819,Ichtershausen,2896768
1820,Hünfeld,2897436
1821,Hünfeld,2897436
1822,Hünfeld,2897436
1823,Hundsangen,2897557
1824,Hundsangen,2897557
1825,Hundheim (Külsheim),2897568
1826,Hundheim (Külsheim),2897568
1827,Hülsen (Dörverden),2897791
1828,Hoya,2898316
1829,Hoya/ Weser,2898316
1830,Hoya/ Weser,2898316
1831,Höxter,2898321
1832,Hörstein,2898605
1833,Hörstein,2898605
1834,Hörstein,2898605
1835,Hörstein,2898605
1836,Hörstein,2898605
1837,Hornau (Kelkheim),2898906
1838,Worms-Horcheim,2899073
1839,Worms-Horcheim,2899073
1840,Worms-Horcheim,2899073
1841,Worms-Horcheim,2899073
1842,Worms-Horcheim,2899073
1843,Horben,2899093
1844,Höpfingen,2899191
1845,Höpfigheim,2899192
1846,Holzhausen an der Haide,2899767
1847,Holzhausen an der Haide,2899767
1848,Holzhausen an der Haide,2899767
1849,Holzhausen an der Haide,2899767
1850,Holungen,2900066
1851,Holsen (Bünde),2900287
1852,Hollstein (Hessisch Lichtenau),2900370
1853,Hollstadt,2900375
1854,Hollfeld,2900453
1855,Hollfeld,2900453
1856,Hollfeld,2900453
1857,Hollfeld,2900453
1858,Hollerbach (Buchen),2900496
1859,Hollerbach (Buchen),2900496
1860,Hollerbach (Buchen),2900496
1861,Höhr-Grenzhausen,2900825
1862,Hohengandern,2901756
1863,Hohengandern,2901756
1864,Hohenberg an der Eger,2901906
1865,Hofstadt (Herzogenrath),2902410
1866,Höfingen (Leonberg),2902519
1867,Hofheim in Unterfranken,2902531
1868,Hofheim in Unterfranken,2902531
1869,Hofheim am Taunus,2902533
1870,Hofheim am Taunus,2902533
1871,Hoffenheim,2902584
1872,Hoffenheim,2902584
1873,Hoffenheim,2902584
1874,Hoch-Weisel,2902895
1875,Hoch-Weisel,2902895
1876,Hoch-Weisel,2902895
1877,Höchst,2903019
1878,Höchst,2903020
1879,Höchst,2903021
1880,Höchst,2903022
1881,Höchstädt/ Donau,2903012
1882,Hochstadt/ Maintal,2903014
1883,Hochstadt/ Maintal,2903014
1884,Frankfurt-Höchst,2903019
1885,Hochheim am Main,2903175
1886,Hochheim am Main,2903175
1887,Hochheim am Main,2903175
1888,Worms-Hochheim,2903176
1889,Hochdorf/ Rhein-Pfalz-Kreis,2903284
1890,Hirzenach,2903507
1891,Hirstein,2903545
1892,Hörstein,2898605
1893,Hirschhorn (Neckar),2903625
1894,Hilscheid,2904625
1895,Hillesheim,2904691
1896,Hillesheim,2904691
1897,Hildesheim,2904789
1898,Hildesheim,2904789
1899,Hildesheim,2904789
1900,Hildesheim,2904789
1901,Hildesheim,2904789
1902,Hildesheim,2904789
1903,Hildesheim,2904789
1904,Hildesheim,2904789
1905,Hilders,2904791
1906,Heuthen,2904974
1907,Heuthen,2904974
1908,Heuthen,2904974
1909,Heuthen,2904974
1910,Heuthen,2904974
1911,Heusenstamm,2904992
1912,Heusenstamm,2904992
1913,Heusenstamm,2904992
1914,Heusenstamm,2904992
1915,Heusenstamm,2904992
1916,Heubach (Kalbach),2905151
1917,Heubach (Kalbach),2905151
1918,Hettingen (Buchen),2905214
1919,Hettenleidelheim,2905226
1920,Hesweiler,2905251
1921,Wiesbaden-Heßloch,2905275
1922,Wiesbaden-Heßloch,2905275
1923,Heßlingshof,2905277
1924,Hessisch Oldendorf,2905290
1925,Herzogenaurach,2905457
1926,Herzberg am Harz,2905496
1927,Herxheim,2905527
1928,Herxheim,2905527
1929,Herxheim,2905527
1930,Herschbach,2905598
1931,Herrstein,2905601
1932,Worms-Herrnsheim,2905626
1933,Worms-Herrnsheim,2905626
1934,Worms-Herrnsheim,2905626
1935,Worms-Herrnsheim,2905626
1936,Worms-Herrnsheim,2905626
1937,Herkenrath,2906069
1938,Herford,2906121
1939,Herdringen,2906142
1940,Herbstein,2906175
1941,Herbstein,2906175
1942,Herbstein,2906175
1943,Herbstein,2906175
1944,Herbolzheim,2906205
1946,Heppenheim,2906268
1947,Heppenheim,2906268
1948,Heppenheim,2906268
1949,Heppendorf,2906269
1950,Heppdiel,2906274
1951,Heppdiel,2906274
1952,Henningen,2906323
1953,Hemsbach,2906514
1954,Hemmerde,2906548
1955,Helmstedt,2906676
1956,Helmstedt,2906676
1957,Helmsdorf (Dingelstädt),2906693
1958,Helmsdorf (Dingelstädt),2906693
1959,Helferskirchen,2906957
1960,Heldenbergen,2907006
1961,Helden (Attendorn),2907008
1962,Heitersheim,2907068
1963,Heistern,2907086
1965,Heinrichsthal,2907211
1966,Heiminghausen,2907369
1967,Heimbach,2907459
1968,Heimbach,2907459
1969,Heiligenstadt,2907545
1970,Heilbad Heiligenstadt,2907545
1971,Heilbad Heiligenstadt,2907545
1972,Heilbad Heiligenstadt,2907545
1973,Heilbad Heiligenstadt,2907545
1974,Heilbad Heiligenstadt,2907545
1975,Heilbad Heiligenstadt,2907545
1976,Heilbad Heiligenstadt,2907545
1977,Heilbad Heiligenstadt,2907545
1978,Heilbad Heiligenstadt,2907545
1979,Heilbad Heiligenstadt,2907545
1980,Heilbad Heiligenstadt,2907545
1981,Heilbad Heiligenstadt,2907545
1982,Heilbad Heiligenstadt,2907545
1983,Heidingsfeld,2907755
1984,Heidingsfeld,2907755
1985,Heidingsfeld,2907755
1986,Heidesheim,2907789
1987,Heidesheim,2907789
1988,Heidesheim,2907789
1989,Heidesheim,2907789
1990,Heidenfeld,2907857
1991,Heidelberg,2907911
1992,Heidelberg,2907911
1993,Heidelberg,2907911
1994,Heidelberg,2907911
1995,Dithmarschen,2908032
1996,Heichelheim,2908149
1997,Heepen,2908322
1998,Mainz-Hechtsheim,2908478
1999,Mainz-Hechtsheim,2908478
2000,Mainz-Hechtsheim,2908478
2001,Hechingen,2908495
2002,Hechingen,2908495
2003,Hausen (Niederorschel),2908863
2004,Hausen/ Niederorschel,2908863
2005,Hausen Miltenberg,2908886
2006,Hausen Miltenberg,2908886
2007,Hausen Miltenberg,2908886
2008,Hausen Miltenberg,2908886
2009,Hatzenbühl,2909204
2010,Hattingen,2909230
2011,Hattersheim,2909240
2012,Hattersheim,2909240
2013,Hattersheim,2909240
2014,Hattenheim,2909258
2015,Hattenheim,2909258
2016,Hattenheim,2909258
2017,Haßfurt,2909335
2018,Haßfurt,2909335
2019,Hassfurt,2909335
2020,Hasselbach,2909429
2021,Haserich,2909587
2022,Berndroth,2909696
2023,Hartenfels,2910181
2024,Harheim,2910483
2025,Frankfurt-Harheim,2910483
2026,Frankfurt-Harheim,2910483
2027,Haren (Ems),2910514
2028,Hardheim,2910633
2029,Hardheim,2910633
2030,Hardheim,2910633
2031,Hardheim,2910633
2032,Hamburg-Harburg,2910685
2033,Hamburg-Harburg,2910685
2034,Hannover,2910831
2035,Hannover,2910831
2036,Hanhofen,2910881
2037,Hangenmeilingen,2910902
2038,Hanau,2911007
2039,Hanau,2911007
2040,Hammerstein/ Rheinland-Pfalz,2911073
2041,Hammelburg,2911214
2042,Hammelburg,2911214
2043,Hamm,2911240
2044,Hamm,2911240
2045,Hameln,2911271
2046,Gamburg,2922781
2047,Gamburg,2922782
2048,Gamburg,2922783
2049,Hamburg,2911298
2050,Hamburg,2911298
2051,Hambuch,2911306
2052,Halver,2911384
2053,Halsenbach,2911419
2054,Halsenbach,2911419
2055,Hallgarten (Rheingau),2911482
2056,Hallgarten (Rheingau),2911482
2057,Hallgarten (Rheingau),2911482
2058,Hallgarten (Rheingau),2911482
2059,Hallgarten (Rheingau),2911482
2060,Hallgarten (Rheingau),2911482
2061,Oestrich,2911482
2062,Oestrich,2911482
2063,Oestrich,2911482
2064,Oestrich,2911482
2065,Oestrich,2911482
2066,Halle,2911522
2067,Halle,2911522
2068,Halle,2911522
2069,Halberstadt,2911665
2070,Halberstadt,2911665
2071,Haintchen ,2911760
2072,Hainstadt (Hainburg),2911764
2073,Hainstadt (Hainburg),2911764
2074,Hain im Spessart,2911789
2075,Hain im Spessart,2911789
2076,Hainhausen,2911818
2077,Hainfeld (Pfalz),2911831
2078,Hainchen,2911856
2079,Hadamar,2912829
2080,Hadamar,2912829
2081,Hadamar,2912829
2082,Hadamar,2912829
2083,Hadamar,2912829
2084,Hadamar,2912829
2085,Hadamar,2912829
2086,Hadamar,2912829
2087,Hadamar,2912829
2088,Hackenheim,2912863
2089,Hachenburg,2912921
2090,Hachenburg,2912921
2091,Hachenburg,2912921
2092,Habitzheim,2912961
2093,Günzburg,2913555
2094,Guntersblum,2913598
2095,Gundheim,2913675
2096,Gudensberg,2913890
2097,Guben,2913922
2098,Grünstadt,2914101
2099,Grünsfeld,2914105
2100,Groß-Zimmern,2914801
2101,Groß-Winternheim,2914842
2102,Groß-Winternheim,2914842
2103,Groß-Winternheim,2914842
2104,Groß-Winternheim,2914842
2105,Großwelzheim,2914868
2106,Großwallstadt,2914890
2107,Großwallstadt,2914890
