Landgrafschaft Baar,None
Landgrafschaft Hessen-Darmstadt,Q693551
Landgrafschaft Hessen-Kassel,Q168651
Landgrafschaft im Breisgau,None
Landgrafschaft Stühlingen,Q1802944
Leutkirch im Allgäu,Q539645
Mark Brandenburg,Q148499
Markgrafentum Mähren,None
Markgrafentum Niederlausitz,None
Markgrafentum Oberlausitz,None
Markgrafschaft Hachberg,None
Markgrafschaft Nomeny,Q17325047
Meistertum Mergentheim des Deutschen Ordens,None
Obere Markgrafschaft Baden / Baden-Baden,None
Oberquartier des Herzogtums Geldern,Q572284
Personen ohne eigenes Territorium / juristisch ebenfalls reichsunmittelbar,None
Propstei Cappenberg,Q1497541
Propstei Wettenhausen,Q881177
Reichsdorf Gochsheim in Unterfranken,None
Reichsdorf Holzhausen im Taunus,None
Reichsdorf Leutkircher Heide im Allgäu,None
Reichsdorf Sennfeld in Unterfranken,None
Reichsdorf Soden im Taunus,None
Reichsdorf Sulzbach im Taunus,None
Reichsgrafschaft Breitenegg,Q959864
Reichsherrschaft Landskron,None
Reichsherrschaft Mechernich,None
Reichsherrschaft Schauen,None
Reichspropstei Odenheim,None
Reichsstadt Aachen,Q15622187
Reichsstadt Aachen,Q2629137
Reichsstadt Aachen,Q1017
Reichsstadt Aalen,Q3951
Reichsstadt Aalen,Q3951
Reichsstadt Augsburg,Q2749
Reichsstadt Besançon,Q2351359
Reichsstadt Biberach,None
Reichsstadt Biberach an der Riss,Q16069
Reichsstadt Bopfingen,None
Reichsstadt Bremen,Q24879
Reichsstadt Buchau,None
Reichsstadt Buchhorn,Q998529
Reichsstadt Colmar,Q97924757
Reichsstadt Dinkelsbühl,Q3168220
Reichsstadt Dinkelsbühl,Q3168220
Reichsstadt Donauwörth,Q53742
Reichsstadt Dortmund,Q1295
Reichsstadt Dortmund,Q2055974
Reichsstadt Esslingen,None
Reichsstadt Frankfurt am Main,Q1794
Reichsstadt Friedberg,Q516485
Reichsstadt Friedberg,Q2056055
Reichsstadt Gelnhausen,Q494733
Reichsstadt Gengenbach,Q1979064
Reichsstadt Giengen,None
Reichsstadt Goslar,Q3896
Reichsstadt Haguenau,Q97940738
Reichsstadt Hamburg,Q314618
Reichsstadt Hamburg,Q115776867
Reichsstadt Hamburg,Q1055
Reichsstadt Heilbronn,Q2075148
Reichsstadt Isny,Q513446
Reichsstadt Kaufbeuren,Q1918186
Reichsstadt Kaysersberg,Q97940833
Reichsstadt Kempten,Q2129773
Reichsstadt Köln,Q365
Reichsstadt Landau,Q2138849
Reichsstadt Leutkirch,None
Reichsstadt Lindau,Q1965271
Reichsstadt Lübeck,Q2843
Reichsstadt Mainz,Q1454024
Reichsstadt Memmingen,None
Reichsstadt Mühlhausen,Q17353855
Reichsstadt Mühlhausen,Q17353855
Reichsstadt Munster,Q97946582
Reichsstadt Nordhausen,Q7033
Reichsstadt Nördlingen,None
Reichsstadt Nürnberg,Q117020
Reichsstadt Obernai,Q54810258
Reichsstadt Offenburg,None
Reichsstadt Pfullendorf,None
Reichsstadt Ravensburg,Q115576895
Reichsstadt Regensburg,Q2978
Reichsstadt Regensburg,Q2750894
Reichsstadt Regensburg,Q2978
Reichsstadt Reutlingen,None
Reichsstadt Riga,Q4124689
Reichsstadt Rosheim,Q54810282
Reichsstadt Rothenburg ob der Tauber,None
Reichsstadt Rottweil,Q1949521
Reichsstadt Rottweil,Q82960
Reichsstadt Sarrebourg,Q54810238
Reichsstadt Schlettstadt,Q2112681
Reichsstadt Schwäbisch Gmünd,Q4037
Reichsstadt Schwäbisch Hall,Q14910
Reichsstadt Schweinfurt,Q15782820
Reichsstadt Sélestat,Q96456912
Reichsstadt Sélestat,Q22737
Reichsstadt Seltz,Q97940882
Reichsstadt Speyer,Q6829
Reichsstadt St. Gallen,Q15881314
Reichsstadt Strasbourg,Q6602
Reichsstadt Strasbourg,Q1876237
Reichsstadt Strasbourg,Q95895695
Reichsstadt Turckheim,Q97941965
Reichsstadt Turckheim,Q1868259
Reichsstadt Überlingen,None
Reichsstadt Ulm,Q5499881
Reichsstadt Ulm,Q3012
Reichsstadt Wangen,None
Reichsstadt Weil der Stadt,Q14277008
Reichsstadt Weißenburg,Q44500
Reichsstadt Wetzlar,Q14277024
Reichsstadt Wetzlar,Q4178
Reichsstadt Wimpfen,Q1842486
Reichsstadt Windsheim,Q132278
Reichsstadt Windsheim,Q2327097
Reichsstadt Wissembourg,Q97943978
Reichsstadt Worms,Q2528034
Reichsstadt Worms,Q3852
Reichsstadt Worms,Q2528034
Reichsstadt Zell am Harmersbach,Q2169084
Reichsstift Burtscheid,None
Reichsunmittelbares Schloss und Dorf Münzfelden,None
Schwäbisch-Österreich,Q1411800
Stift Walkenried,Q428395
Territorien der Ritterschaften,None
Überlingen,Q332952
Untere Markgrafschaft Baden / Baden-Durlach,None
Vorarlbergische Herrschaften,None
