Abtei Baindt, Schwäbischer Reichskreis,
Herrschaft Gimborn und Neustadt, Niederrheinisch-westfälischer Reichskreis,
Herrschaft Gundelfingen, Schwäbischer Reichskreis,
Herrschaft Hanau-Lichtenberg, Oberrheinischer Reichskreis,
Herrschaft Hausen, Fränkischer Reichskreis,
Herrschaft Hausen, Schwäbischer Reichskreis,
Herrschaft Hohenwaldeck, Bayerischer Reichskreis,
Herrschaft Jever, Nicht eingekreiste Territorien,
Herrschaft Justingen, Schwäbischer Reichskreis,
Herrschaft Kniphausen, Nicht eingekreiste Territorien,
Herrschaft Lebach, Nicht eingekreiste Territorien,
Herrschaft Limpurg, Fränkischer Reichskreis,
Herrschaft Meßkirch, Schwäbischer Reichskreis,
Herrschaft Millendonk, Niederrheinisch-westfälischer Reichskreis,
Herrschaft Nalbach, Nicht eingekreiste Territorien,
Herrschaft Oberstein, Nicht eingekreiste Territorien,
Herrschaft Ollbrück, Oberrheinischer Reichskreis,
Herrschaft Pyrmont, Nicht eingekreiste Territorien,
Herrschaft Reichelsberg, Fränkischer Reichskreis,
Herrschaft Reipoltskirchen, Oberrheinischer Reichskreis,
Herrschaft Rhade, Nicht eingekreiste Territorien,
Herrschaft Rheda, Nicht eingekreiste Territorien,
Herrschaft Richold, Nicht eingekreiste Territorien,
Herrschaft Saffenberg, Nicht eingekreiste Territorien,
Herrschaft Schaumburg, Nicht eingekreiste Territorien,
Herrschaft Schwarzenholz, Nicht eingekreiste Territorien,
Herrschaft Schönau, Nicht eingekreiste Territorien,
Herrschaft Stein, Nicht eingekreiste Territorien,
Herrschaft Steinsheim, Fränkischer Reichskreis,
Herrschaft Tarasp, Österreichischer Reichskreis,
Herrschaft Thannhausen, Schwäbischer Reichskreis,
Herrschaft Wasserburg, Nicht eingekreiste Territorien,
Herrschaft Welzheim, Fränkischer Reichskreis,
Herrschaft Wickrath, Niederrheinisch-westfälischer Reichskreis,
Herrschaft Wiesensteig, Schwäbischer Reichskreis,
Herrschaft Wiesentheid, Fränkischer Reichskreis,
Herrschaft Wildenberg, Nicht eingekreiste Territorien,
Herrschaft Wittem, Niederrheinisch-westfälischer Reichskreis,
Herrschaft Wylre, Nicht eingekreiste Territorien,
Herrschaften der Grafen von Reuß, Obersächsischer Reichskreis,
Herrschaften der Grafen von Schönberg, Obersächsischer Reichskreis,
Herrschaften Mindelheim und Schwabegg, Schwäbischer Reichskreis,
Herrschaften Reichenstein, Niederrheinisch-westfälischer Reichskreis,
Herrschaften Sulzburg und Pyrbaum, Bayerischer Reichskreis,
Herrschaften Tettnang und Argen, Schwäbischer Reichskreis,
Herrschaften Winneburg und Beistein, Niederrheinisch-westfälischer Reichskreis,
Herzogtum Bayern nebst Oberpfalz, Bayerischer Reichskreis,
Herzogtum Brabant, Burgundischer Reichskreis,
Herzogtum Bremen, Niedersächsischer Reichskreis,
Herzogtum Friaul österreichischen Anteils, Österreichischer Reichskreis,
Herzogtum Holstein-Glückstadt, Niedersächsischer Reichskreis,
Herzogtum Holstein-Gottrop, Niedersächsischer Reichskreis,
Herzogtum Kleve nebst den Grafschaften Mark und Ravensberg, Niederrheinisch-westfälischer Reichskreis,
Herzogtum Krain, Österreichischer Reichskreis,
Herzogtum Kärnten, Österreichischer Reichskreis,
Herzogtum Limburg, Burgundischer Reichskreis,
Herzogtum Luxemburg, Burgundischer Reichskreis,
Herzogtum Magdeburg, Niedersächsischer Reichskreis,
Herzogtum Mecklenburg-Schwerin, Niedersächsischer Reichskreis,
Herzogtum Mecklenburg-Strelitz, Niedersächsischer Reichskreis,
Herzogtum Pommern preußischen Anteils, Obersächsischer Reichskreis,
Herzogtum Pommern schwedischen Anteils, Obersächsischer Reichskreis,
Herzogtum Sachsen-Lauenburg, Niedersächsischer Reichskreis,
Herzogtum Schlesien preußischen und böhmischen Anteils, Nicht eingekreiste Territorien,
Herzogtum Steiermark, Österreichischer Reichskreis,
Herzogtum Württemberg und Teck, Schwäbischer Reichskreis,
Herzogtümer Jülich und Berg, Niederrheinisch-westfälischer Reichskreis,
Hochstift Augsburg, Schwäbischer Reichskreis,
Hochstift Bamberg, Fränkischer Reichskreis,
Hochstift Basel, Oberrheinischer Reichskreis,
Hochstift Brixen, Österreichischer Reichskreis,
Hochstift Chur, Österreichischer Reichskreis,
Hochstift Eichstätt, Fränkischer Reichskreis,
Hochstift Freising, Bayerischer Reichskreis,
Hochstift Fulda, Oberrheinischer Reichskreis,
Hochstift Hildesheim, Niedersächsischer Reichskreis,
Hochstift Konstanz, Schwäbischer Reichskreis,
Hochstift Lübeck, Niedersächsischer Reichskreis,
Hochstift Lüttich, Niederrheinisch-westfälischer Reichskreis,
Hochstift Münster, Niederrheinisch-westfälischer Reichskreis,
Hochstift Osnabrück, Niederrheinisch-westfälischer Reichskreis,
Hochstift Paderborn, Niederrheinisch-westfälischer Reichskreis,
Hochstift Passau, Bayerischer Reichskreis,
Hochstift Regensburg, Bayerischer Reichskreis,
Hochstift Speyer, Oberrheinischer Reichskreis,
Hochstift Straßburg, Oberrheinischer Reichskreis,
Hochstift Trient, Österreichischer Reichskreis,
Hochstift Worms, Oberrheinischer Reichskreis,
Hochstift Würzburg, Fränkischer Reichskreis,
Kanton Altmühl (Sitz in Wilhermsdorf), Ritterkreis Franken,
Kanton Baunach (Sitz in Baunach / seit 1778 in Nürnberg), Ritterkreis Franken,
Kanton Donau (Sitz in Ehingen), Ritterkreis Schwaben,
Kanton Gebirg (Sitz in Bamberg), Ritterkreis Franken,
Kanton Hegau-Allgäu-Bodensee (Sitze in Radolfzell und in Wangen im Allgäu), Ritterkreis Schwaben,
Kanton Kocher (Sitz in Esslingen), Ritterkreis Schwaben,
Kanton Kraichgau (Sitz in Heilbronn), Ritterkreis Schwaben,
Kanton Mittelrheinstrom (Sitz in Friedberg), Ritterkreis Rhein,
